"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"sce04113","sce04113","Meiosis - yeast","125/1985","133/2408",5.64295300944899e-05,0.000492475899006457,0.00025379788654938,"YMR139W/YDR523C/YHR094C/YAL016W/YDR439W/YPL179W/YJR046W/YJL187C/YKL062W/YHR184W/YBR160W/YEL032W/YGR098C/YIL026C/YBR060C/YFR036W/YLR079W/YLR103C/YPR120C/YBR136W/YDR113C/YPR019W/YJL030W/YJL194W/YGR188C/YDR343C/YGL240W/YDL138W/YDR118W/YOR014W/YLR210W/YMR016C/YJL164C/YER111C/YLR288C/YJL106W/YKL022C/YDL188C/YDL155W/YER173W/YDR310C/YKL203C/YNL261W/YER179W/YHR166C/YCR097W/YAR019C/YPR007C/YHR124W/YMR011W/YHR096C/YDR477W/YER020W/YGR108W/YDR436W/YFL033C/YBL084C/YFL008W/YGL086W/YHR092C/YJL074C/YKL166C/YLR081W/YNL098C/YGR109C/YOR368W/YJL219W/YDR207C/YOL156W/YLR274W/YIR025W/YER133W/YNR072W/YML016C/YJR066W/YDR342C/YMR001C/YEL069C/YBR202W/YOR101W/YPL194W/YDR285W/YLR102C/YLR263W/YPL256C/YDL035C/YBR045C/YOR313C/YPL153C/YBL023C/YJL005W/YHL022C/YOR249C/YPR162C/YGL116W/YGL201C/YLR127C/YDR345C/YMR037C/YDL008W/YJR094C/YML065W/YFR028C/YDL134C/YOR351C/YOR073W/YDL194W/YHR152W/YBR274W/YNL172W/YPL203W/YJL214W/YGR225W/YOR195W/YLR182W/YDR260C/YDL017W/YGR044C/YHR118C/YDR217C/YDR052C/YIL072W/YAL040C/YLL004W/YDL245C",125
"sce03015","sce03015","mRNA surveillance pathway","48/1985","48/2408",8.49178912744375e-05,0.0006793431301955,0.000350100078061277,"YAL016W/YPL179W/YGR156W/YBR143C/YDR228C/YKL018W/YIR001C/YMR080C/YNL001W/YNL317W/YOR014W/YPL169C/YJR093C/YDL188C/YDR436W/YOR250C/YKR002W/YDR172W/YPL178W/YER133W/YKR084C/YML016C/YOR179C/YDL207W/YOR046C/YDR195W/YHR077C/YDL084W/YGL190C/YBR236C/YLR277C/YGR072W/YGL044C/YNL222W/YDR301W/YKL059C/YDR381W/YMR125W/YDL134C/YDR021W/YLR115W/YOL123W/YKL186C/YAL043C/YER165W/YPR107C/YMR061W/YOR076C",48
"sce01230","sce01230","Biosynthesis of amino acids","117/1985","125/2408",0.000173436005184849,0.00128075819213427,0.000660039857788493,"YBR115C/YDL182W/YDR158W/YNR001C/YPL111W/YLR180W/YBR218C/YJR130C/YHR025W/YEL046C/YNL277W/YGL026C/YNL104C/YDL066W/YDL131W/YOR108W/YLR304C/YLR027C/YCR005C/YBL068W/YJR009C/YLR089C/YFR055W/YBR117C/YAL038W/YOR202W/YDR354W/YDR050C/YER052C/YDR111C/YDL171C/YLR058C/YHR208W/YER081W/YNL009W/YGR208W/YOL056W/YIR034C/YDR127W/YGR043C/YJL052W/YGL184C/YJR139C/YIL074C/YPR001W/YGL009C/YCL009C/YKL181W/YDL021W/YBR248C/YLR303W/YJL088W/YDR502C/YPR035W/YIL094C/YJR016C/YOR323C/YMR205C/YPR074C/YGL202W/YPR145W/YCR053W/YCL030C/YHR174W/YBR263W/YDR035W/YOR184W/YGR240C/YBR166C/YJL200C/YHR018C/YOR095C/YDR300C/YGR192C/YGR124W/YGL062W/YCL018W/YOL061W/YER023W/YNL037C/YLR174W/YIL020C/YMR108W/YKL152C/YOL058W/YOR347C/YBR249C/YKL211C/YNR050C/YGR155W/YDR234W/YLR355C/YCL064C/YJL121C/YER086W/YGR254W/YJR148W/YJL071W/YNL316C/YHL011C/YLR354C/YFR025C/YER090W/YKL106W/YOR136W/YMR062C/YCR012W/YER099C/YGL148W/YKL060C/YDR007W/YAL012W/YPR060C/YIL116W/YOL140W/YER055C/YER091C",117
"sce04139","sce04139","Mitophagy - yeast","40/1985","40/2408",0.000410974974330708,0.00281811410969629,0.0014523175784619,"YIL146C/YOR039W/YOR231W/YIL065C/YIL098C/YNR051C/YPL140C/YAL010C/YOR008C/YIL147C/YOR330C/YLL006W/YLL001W/YPR049C/YCR079W/YKL203C/YPR024W/YLR113W/YOL027C/YDR208W/YJL095W/YIL035C/YOL004W/YOL009C/YLR006C/YDR207C/YGL219C/YLR356W/YGL180W/YOL105C/YJR066W/YNL283C/YER151C/YBL105C/YBL078C/YHR030C/YLR147C/YGL019W/YJL128C/YOR061W",40
"sce04213","sce04213","Longevity regulating pathway - multiple species","38/1985","38/2408",0.00060900379127796,0.00389762426417894,0.00200864408351327,"YKL062W/YDR191W/YGL037C/YHR186C/YJL164C/YDR096W/YKL203C/YGL115W/YLL026W/YPL149W/YFL033C/YDR258C/YER103W/YKL166C/YPL015C/YNL098C/YNL209W/YAL005C/YDR256C/YJR066W/YBL075C/YOR101W/YDL229W/YDL035C/YJL005W/YHR008C/YJR101W/YMR037C/YDR347W/YOL068C/YNL330C/YDL042C/YPL203W/YJR104C/YGR088W/YHR205W/YLL024C/YOR025W",38
"sce03420","sce03420","Nucleotide excision repair","37/1985","37/2408",0.000741246400985648,0.00444747840591389,0.00229201189778457,"YDR460W/YBR087W/YDR079C-A/YAR007C/YOL094C/YMR201C/YPR056W/YPR025C/YIL143C/YJR006W/YPL022W/YNL312W/YNL290W/YML095C/YDL164C/YDR311W/YER171W/YJR043C/YNL262W/YOR217W/YPL122C/YJR035W/YDL108W/YBR278W/YJR068W/YEL037C/YGR258C/YOL133W/YJL065C/YER162C/YLR005W/YDL102W/YDR030C/YBR088C/YPR175W/YDR121W/YJL092W",37
"sce03050","sce03050","Proteasome","36/1985","36/2408",0.000902122351533072,0.00509433798512794,0.00262537154935321,"YFR052W/YPR103W/YDL097C/YOL038W/YOR157C/YER094C/YDR427W/YPR108W/YER012W/YDL007W/YDR363W-A/YML092C/YDR394W/YHR027C/YBL041W/YOR261C/YIL075C/YJL001W/YOR259C/YGL011C/YDL147W/YOR362C/YBR173C/YFR050C/YER021W/YIL007C/YGL048C/YHR200W/YGR253C/YGR135W/YMR314W/YOR117W/YFL007W/YLR421C/YKL145W/YFR004W",36
"sce03022","sce03022","Basal transcription factors","32/1985","32/2408",0.00197733388602811,0.0105457807254833,0.00543477734756265,"YGR005C/YGR186W/YDR460W/YML114C/YKR062W/YGR274C/YDR079C-A/YOR194C/YDR432W/YPR056W/YMR236W/YPR025C/YPL129W/YIL143C/YML098W/YMR227C/YDR311W/YER171W/YCR042C/YML015C/YPL122C/YDR145W/YGL112C/YDL108W/YPR086W/YBR198C/YKL028W/YER148W/YLR005W/YPL011C/YKL058W/YDR167W",32
"sce03020","sce03020","RNA polymerase","31/1985","31/2408",0.00240538518274761,0.0115458488771885,0.00595016334679671,"YOR341W/YOR207C/YOL005C/YNL248C/YPR110C/YKR025W/YJL011C/YJR063W/YGL070C/YDR045C/YDL140C/YNL151C/YOR116C/YDR404C/YOR210W/YOR340C/YOR224C/YPR190C/YDL150W/YKL144C/YBR154C/YJL140W/YPR187W/YIL021W/YPR010C/YNL113W/YNR003C/YOR151C/YDR156W/YHR143W-A/YJL148W",31
"sce03030","sce03030","DNA replication","31/1985","31/2408",0.00240538518274761,0.0115458488771885,0.00595016334679671,"YNL102W/YEL032W/YBR087W/YPR019W/YNL072W/YAR007C/YOL094C/YHR164C/YKL113C/YIR008C/YJR006W/YNL312W/YNL290W/YDL164C/YLR274W/YJR043C/YNL262W/YOR217W/YBR202W/YBL023C/YBR278W/YJR068W/YGL201C/YJL065C/YMR234W/YDL102W/YBR088C/YKL045W/YPR175W/YDR121W/YBL035C",31
